school_rank,school_name_en,department_id,department_name_en,url,category,status,needs_js_hint,notes,last_validated_at,validated_by
1,Massachusetts Institute of Technology (MIT),mit-ctl,MIT Center for Transportation & Logistics (CTL),https://ctl.mit.edu/,engineering_management,valid,False,MIT 供应链/物流方向旗舰中心，含 SCM 硕士项目；研究方向覆盖供应链优化、运筹。Faculty: https://ctl.mit.edu/about/people,,
1,Massachusetts Institute of Technology (MIT),mit-idss-cm,"MIT Institute for Data, Systems, and Society (IDSS) - Center for Computational Marketing",https://idss.mit.edu/,decision_science,valid,False,IDSS 横跨运筹、统计与社会科学，含 Center for Computational Marketing / Center for Statistics and Data Science；教师页: https://idss.mit.edu/people/,,
1,Massachusetts Institute of Technology (MIT),mit-orc,MIT Operations Research Center (ORC),https://orc.mit.edu/,operations_research,valid,False,MIT 工程学院下的运筹中心，是 MIT 在 OR/优化/随机方向的核心组织。教师与博士: https://orc.mit.edu/people,,
1,Massachusetts Institute of Technology (MIT),mit-sloan,MIT Sloan School of Management,https://mitsloan.mit.edu/,business_school,valid,False,Sloan 是 MIT 的管理学院；含 MBA、Master of Finance、Master of Business Analytics、PhD。研究方向涵盖运筹、行为决策、Sloan 工业经济（已合入）。教师入口: https://mitsloan.mit.edu/faculty,,
2,Imperial College London,imperial-business-school,Imperial College Business School,https://www.imperial.ac.uk/business-school/,business_school,valid,False,含 MBA、MSc Business Analytics、MSc Finance、PhD。研究方向覆盖金融、运营、运筹与商业分析。Faculty: https://www.imperial.ac.uk/business-school/people/,,
3,Stanford University,stanford-gsb,Stanford Graduate School of Business,https://www.gsb.stanford.edu/,business_school,valid,False,Stanford GSB 含 MBA、MSx、PhD；研究含经济分析与政策、运营/信息/技术、组织行为。Faculty: https://www.gsb.stanford.edu/faculty-research/faculty,,
3,Stanford University,stanford-icme,Stanford Institute for Computational and Mathematical Engineering (ICME),https://icme.stanford.edu/,engineering_management,valid,False,ICME 是工程学院的交叉中心，含计算数学/数据科学/优化方向教师；与 MS&E 互补。,,
3,Stanford University,stanford-msande,Stanford Department of Management Science and Engineering,https://msande.stanford.edu/,engineering_management,valid,False,MS&E 是管理科学与工程的代表性系；含运筹、决策分析、概率与随机系统、SCM、金融与会计工程。Faculty: https://msande.stanford.edu/people/faculty,,
4,University of Oxford,oxford-bsg,Oxford Blavatnik School of Government,https://www.bsg.ox.ac.uk/,public_policy,valid,False,公共政策/政府研究方向，Oxford 旗舰。含 MPP、PhD、Research 等。Faculty: https://www.bsg.ox.ac.uk/people,,
4,University of Oxford,oxford-said,Oxford Saïd Business School,https://www.sbs.ox.ac.uk/,business_school,valid,False,含 MBA、MSc in Management / Finance / Financial Economics、PhD。Faculty: https://www.sbs.ox.ac.uk/research/research-faculty,,
5,Harvard University,harvard-hbs,Harvard Business School (HBS),https://www.hbs.edu/,business_school,valid,False,HBS 含 MBA、Doctoral Programs (DBA)、Master of Business Analytics。研究含会计与管理、决策科学、运营管理、技术与运营管理。Faculty: https://www.hbs.edu/leadership/faculty-and-research,,
5,Harvard University,harvard-hks,Harvard Kennedy School (HKS),https://www.hks.harvard.edu/,public_policy,valid,False,HKS 是全球公共政策标杆，含 MPP、MPA、PhD，研究含政策分析、经济发展。Faculty: https://www.hks.harvard.edu/faculty,,
6,University of Cambridge,cambridge-cpp,Cambridge Centre for Public Policy (CPP),https://www.publicpolicy.cam.ac.uk/,public_policy,valid,False,Cambridge 的公共政策交叉研究组织，挂靠在 Judge 与人文社科院之间。MPhil in Public Policy 项目。,,
6,University of Cambridge,cambridge-judge,Cambridge Judge Business School,https://www.jbs.cam.ac.uk/,business_school,valid,False,含 MBA、MPhil in Management / Finance / Technology Policy、PhD。Faculty: https://www.jbs.cam.ac.uk/people/research-faculty/,,
7,ETH Zurich,eth-dmtec,"ETH Zurich Department of Management, Technology, and Economics (D-MTEC)",https://mtec.ethz.ch/,engineering_management,valid,False,D-MTEC 含管理、运筹、系统工程、风险与安全、健康 TIK。Chair of Operations Research: https://or.ethz.ch/。Faculty: https://mtec.ethz.ch/people/people.html,,
8,UCL (University College London),ucl-school-of-management,UCL School of Management,https://www.ucl.ac.uk/management/,management_school,valid,False,含 MSc Management / Business Analytics / Finance、PhD。研究含商业分析、运营与供应链、创业与创新。Faculty: https://www.ucl.ac.uk/management/people,,
